Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,12-Month % Change
CUUR0000SAF1,2000,M01,2000 Jan,166.1,0.4,0.6,1.5
CUUR0000SAF1,2000,M02,2000 Feb,166.3,0.1,0.7,1.8
CUUR0000SAF1,2000,M03,2000 Mar,166.5,0.1,0.7,2.0
CUUR0000SAF1,2000,M04,2000 Apr,166.6,0.1,0.3,2.0
CUUR0000SAF1,2000,M05,2000 May,167.3,0.4,0.6,2.2
CUUR0000SAF1,2000,M06,2000 Jun,167.3,0.0,0.5,2.3
CUUR0000SAF1,2000,M07,2000 Jul,168.1,0.5,0.9,2.6
CUUR0000SAF1,2000,M08,2000 Aug,168.7,0.4,0.8,2.7
CUUR0000SAF1,2000,M09,2000 Sep,168.9,0.1,1.0,2.6
CUUR0000SAF1,2000,M10,2000 Oct,169.1,0.1,0.6,2.4
CUUR0000SAF1,2000,M11,2000 Nov,168.9,-0.1,0.1,2.2
CUUR0000SAF1,2000,M12,2000 Dec,170.0,0.7,0.7,2.8
CUUR0000SAF1,2001,M01,2001 Jan,170.9,0.5,1.1,2.9
CUUR0000SAF1,2001,M02,2001 Feb,171.3,0.2,1.4,3.0
CUUR0000SAF1,2001,M03,2001 Mar,171.7,0.2,1.0,3.1
CUUR0000SAF1,2001,M04,2001 Apr,171.9,0.1,0.6,3.2
CUUR0000SAF1,2001,M05,2001 May,172.5,0.3,0.7,3.1
CUUR0000SAF1,2001,M06,2001 Jun,173.0,0.3,0.8,3.4
CUUR0000SAF1,2001,M07,2001 Jul,173.5,0.3,0.9,3.2
CUUR0000SAF1,2001,M08,2001 Aug,173.9,0.2,0.8,3.1
CUUR0000SAF1,2001,M09,2001 Sep,174.1,0.1,0.6,3.1
CUUR0000SAF1,2001,M10,2001 Oct,174.9,0.5,0.8,3.4
CUUR0000SAF1,2001,M11,2001 Nov,174.6,-0.2,0.4,3.4
CUUR0000SAF1,2001,M12,2001 Dec,174.7,0.1,0.3,2.8
CUUR0000SAF1,2002,M01,2002 Jan,175.8,0.6,0.5,2.9
CUUR0000SAF1,2002,M02,2002 Feb,175.9,0.1,0.7,2.7
CUUR0000SAF1,2002,M03,2002 Mar,176.1,0.1,0.8,2.6
CUUR0000SAF1,2002,M04,2002 Apr,176.2,0.1,0.2,2.5
CUUR0000SAF1,2002,M05,2002 May,175.8,-0.2,-0.1,1.9
CUUR0000SAF1,2002,M06,2002 Jun,175.8,0.0,-0.2,1.6
CUUR0000SAF1,2002,M07,2002 Jul,176.0,0.1,-0.1,1.4
CUUR0000SAF1,2002,M08,2002 Aug,176.0,0.0,0.1,1.2
CUUR0000SAF1,2002,M09,2002 Sep,176.4,0.2,0.3,1.3
CUUR0000SAF1,2002,M10,2002 Oct,176.5,0.1,0.3,0.9
CUUR0000SAF1,2002,M11,2002 Nov,176.8,0.2,0.5,1.3
CUUR0000SAF1,2002,M12,2002 Dec,177.3,0.3,0.5,1.5
CUUR0000SAF1,2003,M01,2003 Jan,177.5,0.1,0.6,1.0
CUUR0000SAF1,2003,M02,2003 Feb,178.3,0.5,0.8,1.4
CUUR0000SAF1,2003,M03,2003 Mar,178.6,0.2,0.7,1.4
CUUR0000SAF1,2003,M04,2003 Apr,178.4,-0.1,0.5,1.2
CUUR0000SAF1,2003,M05,2003 May,178.8,0.2,0.3,1.7
CUUR0000SAF1,2003,M06,2003 Jun,179.6,0.4,0.6,2.2
CUUR0000SAF1,2003,M07,2003 Jul,179.7,0.1,0.7,2.1
CUUR0000SAF1,2003,M08,2003 Aug,180.4,0.4,0.9,2.5
CUUR0000SAF1,2003,M09,2003 Sep,180.7,0.2,0.6,2.4
CUUR0000SAF1,2003,M10,2003 Oct,181.7,0.6,1.1,2.9
CUUR0000SAF1,2003,M11,2003 Nov,182.4,0.4,1.1,3.2
CUUR0000SAF1,2003,M12,2003 Dec,183.6,0.7,1.6,3.6
CUUR0000SAF1,2004,M01,2004 Jan,183.8,0.1,1.2,3.5
CUUR0000SAF1,2004,M02,2004 Feb,184.1,0.2,0.9,3.3
