year,period,       value_FarmProducts,       value_ProcessedFoods,       value
2000,M01,107.53972602739725,128.06883116883117,128.3
2000,M02,110.031506849315,129.04588744588747,129.8
2000,M03,103.30510948905112,129.22857142857134,130.8
2000,M04,105.14117647058823,131.7099567099568,130.7
2000,M05,107.01205673758868,129.89826086956523,131.6
2000,M06,104.9888111888112,128.91688311688304,133.8
2000,M07,102.13380281690146,129.4329004329005,133.7
2000,M08,101.83868613138685,129.1038793103448,132.9
2000,M09,105.44014598540149,128.36580086580085,134.7
2000,M10,114.50205479452059,129.35260869565224,135.4
2000,M11,115.85492957746477,129.64,135.0
2000,M12,115.71267605633804,130.24267241379312,136.2
2000,M13,107.44999999999999,130.21144278606968,132.7
2001,M01,117.65289855072467,130.64549356223182,140.0
2001,M02,111.46740740740738,132.41794871794875,137.4
2001,M03,112.49701492537318,131.94316239316242,135.9
2001,M04,114.07878787878786,133.25042735042734,136.4
2001,M05,112.03191489361704,132.83162393162388,136.8
2001,M06,108.04166666666669,131.4142857142857,135.5
2001,M07,103.8485714285714,131.88114754098356,133.4
2001,M08,105.10070921985819,132.377868852459,133.4
2001,M09,105.40070422535213,133.87119341563783,133.3
2001,M10,107.57323943661963,131.35308641975314,130.3
2001,M11,115.43566433566436,130.98099173553723,129.8
2001,M12,114.112676056338,129.62716049382718,128.1
2001,M13,111.48909090909092,133.0069651741293,134.2
2002,M01,120.89041095890406,130.61004184100418,128.5
2002,M02,121.8448979591836,132.5380753138076,128.4
2002,M03,123.50413793103448,131.01171548117145,129.8
2002,M04,107.37194244604319,130.85732217573224,130.8
2002,M05,108.88214285714287,131.16234309623437,130.8
2002,M06,109.08775510204083,129.90330578512396,130.9
2002,M07,109.40413793103448,131.23483606557375,131.2
2002,M08,110.3993006993007,131.14508196721314,131.5
2002,M09,107.86879432624112,131.45679012345676,132.3
2002,M10,115.3890410958904,132.80495867768587,133.2
2002,M11,120.2458904109589,132.79876543209866,133.1
2002,M12,118.64751773049645,131.6322448979591,132.9
2002,M13,113.36846846846845,131.47476190476186,131.1
2003,M01,126.49931506849313,133.24609053497943,135.3
2003,M02,122.83356164383565,133.816393442623,137.6
2003,M03,124.45684931506855,134.3713114754098,141.2
2003,M04,121.93904109589037,136.4212244897959,136.8
2003,M05,120.51564625850337,135.0241803278689,136.7
